18/01 08:35:00 FINE sim.Admin|Log for simulation 86 started
18/01 08:35:40 INFO sim.Simulation|***** START OF TIME 4 COMPLETE *****
18/01 08:35:50 INFO sim.Simulation|***** START OF TIME 5 *****
18/01 08:35:51 INFO agents.DemandAgent|new day 5 . Auction pending campaign
18/01 08:35:51 INFO agents.DemandAgent|Auction user classification service
18/01 08:35:51 INFO agents.DemandAgent|Reporting auction results...
18/01 08:35:51 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:35:51 INFO sim.Simulation|***** START OF TIME 5 COMPLETE *****
18/01 08:36:00 INFO sim.Simulation|***** START OF TIME 6 *****
18/01 08:36:00 INFO agents.DemandAgent|new day 6 . Auction pending campaign
18/01 08:36:00 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:00 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:00 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:00 INFO sim.Simulation|***** START OF TIME 6 COMPLETE *****
18/01 08:36:10 INFO sim.Simulation|***** START OF TIME 7 *****
18/01 08:36:10 INFO agents.DemandAgent|new day 7 . Auction pending campaign
18/01 08:36:10 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:10 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:10 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:10 INFO sim.Simulation|***** START OF TIME 7 COMPLETE *****
18/01 08:36:20 INFO sim.Simulation|***** START OF TIME 8 *****
18/01 08:36:20 INFO agents.DemandAgent|new day 8 . Auction pending campaign
18/01 08:36:20 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:20 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:20 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:20 INFO sim.Simulation|***** START OF TIME 8 COMPLETE *****
18/01 08:36:30 INFO sim.Simulation|***** START OF TIME 9 *****
18/01 08:36:30 INFO agents.DemandAgent|new day 9 . Auction pending campaign
18/01 08:36:30 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:30 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:30 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:30 INFO sim.Simulation|***** START OF TIME 9 COMPLETE *****
18/01 08:36:40 INFO sim.Simulation|***** START OF TIME 10 *****
18/01 08:36:40 INFO agents.DemandAgent|new day 10 . Auction pending campaign
18/01 08:36:40 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:40 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:40 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:40 INFO sim.Simulation|***** START OF TIME 10 COMPLETE *****
18/01 08:36:50 INFO sim.Simulation|***** START OF TIME 11 *****
18/01 08:36:50 INFO agents.DemandAgent|new day 11 . Auction pending campaign
18/01 08:36:50 INFO agents.DemandAgent|Auction user classification service
18/01 08:36:50 INFO agents.DemandAgent|Reporting auction results...
18/01 08:36:50 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:36:50 INFO sim.Simulation|***** START OF TIME 11 COMPLETE *****
18/01 08:37:00 INFO sim.Simulation|***** START OF TIME 12 *****
18/01 08:37:00 INFO agents.DemandAgent|new day 12 . Auction pending campaign
18/01 08:37:00 INFO agents.DemandAgent|Auction user classification service
18/01 08:37:00 INFO agents.DemandAgent|Reporting auction results...
18/01 08:37:00 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 08:37:00 INFO sim.Simulation|***** START OF TIME 12 COMPLETE *****
