18/01 10:24:00 FINE sim.Admin|Log for simulation 96 started
18/01 10:27:13 INFO sim.Simulation|***** START OF TIME 3 *****
18/01 10:27:14 INFO agents.DemandAgent|new day 3 . Auction pending campaign
18/01 10:27:14 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:14 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:14 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:14 INFO sim.Simulation|***** START OF TIME 3 COMPLETE *****
18/01 10:27:14 INFO sim.Simulation|***** START OF TIME 4 *****
18/01 10:27:14 INFO agents.DemandAgent|new day 4 . Auction pending campaign
18/01 10:27:14 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:14 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:14 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:14 INFO sim.Simulation|***** START OF TIME 4 COMPLETE *****
18/01 10:27:14 INFO sim.Simulation|***** START OF TIME 5 *****
18/01 10:27:15 INFO agents.DemandAgent|new day 5 . Auction pending campaign
18/01 10:27:15 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:15 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:15 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:15 INFO sim.Simulation|***** START OF TIME 5 COMPLETE *****
18/01 10:27:15 INFO sim.Simulation|***** START OF TIME 6 *****
18/01 10:27:15 INFO agents.DemandAgent|new day 6 . Auction pending campaign
18/01 10:27:15 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:15 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:15 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:15 INFO sim.Simulation|***** START OF TIME 6 COMPLETE *****
18/01 10:27:15 INFO sim.Simulation|***** START OF TIME 7 *****
18/01 10:27:15 INFO agents.DemandAgent|new day 7 . Auction pending campaign
18/01 10:27:15 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:15 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:15 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:16 INFO sim.Simulation|***** START OF TIME 7 COMPLETE *****
18/01 10:27:16 INFO sim.Simulation|***** START OF TIME 8 *****
18/01 10:27:16 INFO agents.DemandAgent|new day 8 . Auction pending campaign
18/01 10:27:16 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:16 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:16 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:16 INFO sim.Simulation|***** START OF TIME 8 COMPLETE *****
18/01 10:27:16 INFO sim.Simulation|***** START OF TIME 9 *****
18/01 10:27:17 INFO agents.DemandAgent|new day 9 . Auction pending campaign
18/01 10:27:17 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:17 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:17 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:17 INFO sim.Simulation|***** START OF TIME 9 COMPLETE *****
18/01 10:27:17 INFO sim.Simulation|***** START OF TIME 10 *****
18/01 10:27:17 INFO agents.DemandAgent|new day 10 . Auction pending campaign
18/01 10:27:17 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:17 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:17 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:17 INFO sim.Simulation|***** START OF TIME 10 COMPLETE *****
18/01 10:27:17 INFO sim.Simulation|***** START OF TIME 11 *****
18/01 10:27:17 INFO agents.DemandAgent|new day 11 . Auction pending campaign
18/01 10:27:17 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:17 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:17 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:18 INFO sim.Simulation|***** START OF TIME 11 COMPLETE *****
18/01 10:27:18 INFO sim.Simulation|***** START OF TIME 12 *****
18/01 10:27:18 INFO agents.DemandAgent|new day 12 . Auction pending campaign
18/01 10:27:18 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:18 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:18 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:18 INFO sim.Simulation|***** START OF TIME 12 COMPLETE *****
18/01 10:27:18 INFO sim.Simulation|***** START OF TIME 13 *****
18/01 10:27:18 INFO agents.DemandAgent|new day 13 . Auction pending campaign
18/01 10:27:18 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:18 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:18 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 13 COMPLETE *****
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 14 *****
18/01 10:27:19 INFO agents.DemandAgent|new day 14 . Auction pending campaign
18/01 10:27:19 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:19 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:19 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 14 COMPLETE *****
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 15 *****
18/01 10:27:19 INFO agents.DemandAgent|new day 15 . Auction pending campaign
18/01 10:27:19 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:19 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:19 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 15 COMPLETE *****
18/01 10:27:19 INFO sim.Simulation|***** START OF TIME 16 *****
18/01 10:27:20 INFO agents.DemandAgent|new day 16 . Auction pending campaign
18/01 10:27:20 INFO agents.DemandAgent|Auction user classification service
18/01 10:27:20 INFO agents.DemandAgent|Reporting auction results...
18/01 10:27:20 INFO agents.DemandAgent|Notifying new campaign opportunity..
